X,Y,OBJECTID,name,operator,owner,address,is24Hours,carParkCount,hasCarparkCost,maxTimeLimit,hasTouristAttraction,latitude,longitude,currentType,dateFirstOperational,numberOfConnectors,connectorsList,hasChargingCost
1843421.0818,5530929.5199,188,Woodville,ChargeNet NZ,ChargeNet NZ,"iSite, Woodville 4920, New Zealand",True,1,False,Unlimited,False,-40.336698,175.865639,DC,2017/11/15 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1821804.1139,5529507.6436,189,Palmerston North,ChargeNet NZ,ChargeNet NZ,"The Square, Palmerston North 4410, New Zealand",True,1,False,Unlimited,False,-40.355518,175.611913,DC,2016/11/22 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1821837.9055,5529022.9712,190,Palmerston North,ChargeNet NZ,ChargeNet NZ,"327 Ferguson St, Palmerston North, New Zealand",True,1,False,Unlimited,False,-40.359871,175.612479,DC,2021/05/19 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1841035.0107,5518187.6295,191,Pahiatua,ChargeNet NZ,Tararua District Council,"2 Wakeman St, Pahiatua 4910, NZ",True,1,False,Unlimited,False,-40.452043,175.842403,DC,2021/06/16 00:00:00+00,4,"{DC, 38 kW, CHAdeMO, Status: Operative, Count:2},{DC, 38 kW, Type 2 CCS, Status: Operative, Count:2}",True
1793385.3831,5517392.6007,192,Foxton,ChargeNet NZ,ChargeNet NZ,"Clyde St, Foxton 4814, New Zealand",True,1,False,Unlimited,False,-40.47165,175.281212,DC,2019/12/09 00:00:00+00,4,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:2},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:2}",True
1804141.0235,5508745.8211,193,Shannon,ChargeNet NZ,ChargeNet NZ,"Plimmer Tce, Shannon 4821, NZ",True,1,False,Unlimited,False,-40.546907,175.410771,DC,2020/06/26 00:00:00+00,4,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:2},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:2}",True
1793197.4766,5500526.812,194,Levin,ChargeNet NZ,ChargeNet NZ,"21 Bath St, Levin 5510, NZ",True,1,False,Unlimited,False,-40.623516,175.284152,DC,2018/05/15 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1828612.9295,5497198.3542,195,Eketahuna,ChargeNet NZ,ChargeNet NZ,"2 Haswell Street, Eketahuna 4900, NZ",True,1,False,Unlimited,False,-40.644432,175.703665,DC,2021/12/15 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1781700.1149,5485256.2536,196,Otaki,ChargeNet NZ,ChargeNet NZ,"186 Waerenga Road, Otaki 5512, New Zealand",True,1,False,Unlimited,False,-40.763595,175.152736,DC,2016/11/22 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1770604.9289,5474667.7592,197,Waikanae,ChargeNet NZ,ChargeNet NZ,"Opposite 34 Tutere St, Waikanae 5036, NZ",True,1,False,Unlimited,False,-40.861299,175.02426,DC,2019/05/30 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1583661.329,5476556.3005,198,Takaka,ChargeNet NZ,Network Tasman Ltd,"16 Willow Street, Golden Bay 7110, NZ",True,1,False,Unlimited,False,-40.861889,172.806131,Mixed,2018/08/01 00:00:00+00,3,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{AC, 43 kW, Type 2 Tethered, Status: Operative, Count:1}",True
1768628.2875,5468520.1996,199,Paraparaumu,ChargeNet NZ,ChargeNet NZ,"Rimu Rd, Paraparaumu 5032, NZ",True,1,False,Unlimited,False,-40.917054,175.002489,DC,2018/10/23 00:00:00+00,4,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:2},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:2}",True
1766876.5239,5468365.7269,200,Raumati,ChargeNet NZ,ChargeNet NZ,"15 Raumati Rd, Paraparaumu 5032, NZ",True,1,False,Unlimited,False,-40.918804,174.98174,DC,2019/03/14 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1824399.5416,5463521.8118,201,Masterton,ChargeNet NZ,ChargeNet NZ,"3 Dixon Street, Masterton 5810, New Zealand",True,1,False,Unlimited,False,-40.948637,175.665992,DC,2017/05/11 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1764152.9337,5460797.8958,202,Paekakariki,ChargeNet NZ,ChargeNet NZ,"7D Wellington Rd, Paekakariki 5034, NZ",True,1,False,Unlimited,False,-40.987489,174.95142,DC,2019/03/25 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1756958.5008,5449026.4061,203,Paremata,ChargeNet NZ,ChargeNet NZ,"93-97 Mana Esplanade, Porirua 5026, New Zealand",True,1,False,Unlimited,False,-41.094888,174.868935,DC,2019/08/08 00:00:00+00,2,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 25 kW, CHAdeMO, Status: Operative, Count:1}",True
1600840.484,5448552.0482,204,Motueka,ChargeNet NZ,The Warehouse Ltd,"270 High St, Motueka 7120, NZ",True,1,False,Unlimited,False,-41.114321,173.010011,DC,2021/01/26 00:00:00+00,2,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 25 kW, CHAdeMO, Status: Operative, Count:1}",False
